teams,link,location,schedule_result,timestamp,gmt_local_time,team1,team2,match_number,stadium,city,winner,match_datetime,match_date,match_time,local_time
"Royal Challengers Bengaluru vs Lucknow Super Giants, 15th Match",https://www.cricbuzz.com/live-cricket-scores/89738/rcb-vs-lsg-15th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at Apr 02, 14:00 GMT",1712066400000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Lucknow Super Giants,15,M.Chinnaswamy Stadium,Bengaluru,,2024-04-02 10:00:00,2024-04-02,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Kolkata Knight Riders, 16th Match",https://www.cricbuzz.com/live-cricket-scores/89745/dc-vs-kkr-16th-match-indian-premier-league-2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Match starts at Apr 03, 14:00 GMT",1712152800000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Kolkata Knight Riders,16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,,2024-04-03 10:00:00,2024-04-03,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Punjab Kings, 17th Match",https://www.cricbuzz.com/live-cricket-scores/89749/gt-vs-pbks-17th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at Apr 04, 14:00 GMT",1712239200000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Punjab Kings,17,Narendra Modi Stadium,Ahmedabad,,2024-04-04 10:00:00,2024-04-04,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Chennai Super Kings, 18th Match",https://www.cricbuzz.com/live-cricket-scores/89752/srh-vs-csk-18th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at Apr 05, 14:00 GMT",1712325600000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Chennai Super Kings,18,Rajiv Gandhi International Stadium,Hyderabad,,2024-04-05 10:00:00,2024-04-05,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Royal Challengers Bengaluru, 19th Match",https://www.cricbuzz.com/live-cricket-scores/89756/rr-vs-rcb-19th-match-indian-premier-league-2024,"Sawai Mansingh Stadium, Jaipur","Match starts at Apr 06, 14:00 GMT",1712412000000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Royal Challengers Bengaluru,19,Sawai Mansingh Stadium,Jaipur,,2024-04-06 10:00:00,2024-04-06,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Delhi Capitals, 20th Match",https://www.cricbuzz.com/live-cricket-scores/89763/mi-vs-dc-20th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at Apr 07, 10:00 GMT",1712484000000,10:00 AM GMT	/ 03:30 PM LOCAL,Mumbai Indians,Delhi Capitals,20,Wankhede Stadium,Mumbai,,2024-04-07 06:00:00,2024-04-07,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Chennai Super Kings vs Kolkata Knight Riders, 22nd Match",https://www.cricbuzz.com/live-cricket-scores/91380/csk-vs-kkr-22nd-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at Apr 08, 14:00 GMT",1712584800000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Kolkata Knight Riders,22,MA Chidambaram Stadium,Chennai,,2024-04-08 10:00:00,2024-04-08,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Sunrisers Hyderabad, 23rd Match",https://www.cricbuzz.com/live-cricket-scores/91389/pbks-vs-srh-23rd-match-indian-premier-league-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali","Match starts at Apr 09, 14:00 GMT",1712671200000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Sunrisers Hyderabad,23,Punjab Cricket Association IS Bindra Stadium,Mohali,,2024-04-09 10:00:00,2024-04-09,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Gujarat Titans, 24th Match",https://www.cricbuzz.com/live-cricket-scores/91393/rr-vs-gt-24th-match-indian-premier-league-2024,"Sawai Mansingh Stadium, Jaipur","Match starts at Apr 10, 14:00 GMT",1712757600000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Gujarat Titans,24,Sawai Mansingh Stadium,Jaipur,,2024-04-10 10:00:00,2024-04-10,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Royal Challengers Bengaluru, 25th Match",https://www.cricbuzz.com/live-cricket-scores/91398/mi-vs-rcb-25th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at Apr 11, 14:00 GMT",1712844000000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Royal Challengers Bengaluru,25,Wankhede Stadium,Mumbai,,2024-04-11 10:00:00,2024-04-11,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Delhi Capitals, 26th Match",https://www.cricbuzz.com/live-cricket-scores/91407/lsg-vs-dc-26th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 12, 14:00 GMT",1712930400000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Delhi Capitals,26,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-12 10:00:00,2024-04-12,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Rajasthan Royals, 27th Match",https://www.cricbuzz.com/live-cricket-scores/91416/pbks-vs-rr-27th-match-indian-premier-league-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali","Match starts at Apr 13, 14:00 GMT",1713016800000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Rajasthan Royals,27,Punjab Cricket Association IS Bindra Stadium,Mohali,,2024-04-13 10:00:00,2024-04-13,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Lucknow Super Giants, 28th Match",https://www.cricbuzz.com/live-cricket-scores/91420/kkr-vs-lsg-28th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 14, 10:00 GMT",1713088800000,10:00 AM GMT	/ 03:30 PM LOCAL,Kolkata Knight Riders,Lucknow Super Giants,28,Eden Gardens,Kolkata,,2024-04-14 06:00:00,2024-04-14,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 30th Match",https://www.cricbuzz.com/live-cricket-scores/91434/rcb-vs-srh-30th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at Apr 15, 14:00 GMT",1713189600000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Sunrisers Hyderabad,30,M.Chinnaswamy Stadium,Bengaluru,,2024-04-15 10:00:00,2024-04-15,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Delhi Capitals, 31st Match",https://www.cricbuzz.com/live-cricket-scores/91443/gt-vs-dc-31st-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at Apr 16, 14:00 GMT",1713276000000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Delhi Capitals,31,Narendra Modi Stadium,Ahmedabad,,2024-04-16 10:00:00,2024-04-16,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Rajasthan Royals, 32nd Match",https://www.cricbuzz.com/live-cricket-scores/91452/kkr-vs-rr-32nd-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 17, 14:00 GMT",1713362400000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Rajasthan Royals,32,Eden Gardens,Kolkata,,2024-04-17 10:00:00,2024-04-17,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Mumbai Indians, 33rd Match",https://www.cricbuzz.com/live-cricket-scores/91461/pbks-vs-mi-33rd-match-indian-premier-league-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali","Match starts at Apr 18, 14:00 GMT",1713448800000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Mumbai Indians,33,Punjab Cricket Association IS Bindra Stadium,Mohali,,2024-04-18 10:00:00,2024-04-18,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Chennai Super Kings, 34th Match",https://www.cricbuzz.com/live-cricket-scores/91470/lsg-vs-csk-34th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 19, 14:00 GMT",1713535200000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Chennai Super Kings,34,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-19 10:00:00,2024-04-19,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Sunrisers Hyderabad, 35th Match",https://www.cricbuzz.com/live-cricket-scores/91474/dc-vs-srh-35th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at Apr 20, 14:00 GMT",1713621600000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Sunrisers Hyderabad,35,Arun Jaitley Stadium,Delhi,,2024-04-20 10:00:00,2024-04-20,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Royal Challengers Bengaluru, 36th Match",https://www.cricbuzz.com/live-cricket-scores/91479/kkr-vs-rcb-36th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 21, 10:00 GMT",1713693600000,10:00 AM GMT	/ 03:30 PM LOCAL,Kolkata Knight Riders,Royal Challengers Bengaluru,36,Eden Gardens,Kolkata,,2024-04-21 06:00:00,2024-04-21,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Rajasthan Royals vs Mumbai Indians, 38th Match",https://www.cricbuzz.com/live-cricket-scores/91497/rr-vs-mi-38th-match-indian-premier-league-2024,"Sawai Mansingh Stadium, Jaipur","Match starts at Apr 22, 14:00 GMT",1713794400000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Mumbai Indians,38,Sawai Mansingh Stadium,Jaipur,,2024-04-22 10:00:00,2024-04-22,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Lucknow Super Giants, 39th Match",https://www.cricbuzz.com/live-cricket-scores/91506/csk-vs-lsg-39th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at Apr 23, 14:00 GMT",1713880800000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Lucknow Super Giants,39,MA Chidambaram Stadium,Chennai,,2024-04-23 10:00:00,2024-04-23,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Gujarat Titans, 40th Match",https://www.cricbuzz.com/live-cricket-scores/91515/dc-vs-gt-40th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at Apr 24, 14:00 GMT",1713967200000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Gujarat Titans,40,Arun Jaitley Stadium,Delhi,,2024-04-24 10:00:00,2024-04-24,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Royal Challengers Bengaluru, 41st Match",https://www.cricbuzz.com/live-cricket-scores/91524/srh-vs-rcb-41st-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at Apr 25, 14:00 GMT",1714053600000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Royal Challengers Bengaluru,41,Rajiv Gandhi International Stadium,Hyderabad,,2024-04-25 10:00:00,2024-04-25,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Punjab Kings, 42nd Match",https://www.cricbuzz.com/live-cricket-scores/91528/kkr-vs-pbks-42nd-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 26, 14:00 GMT",1714140000000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Punjab Kings,42,Eden Gardens,Kolkata,,2024-04-26 10:00:00,2024-04-26,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Mumbai Indians, 43rd Match",https://www.cricbuzz.com/live-cricket-scores/91533/dc-vs-mi-43rd-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at Apr 27, 10:00 GMT",1714212000000,10:00 AM GMT	/ 03:30 PM LOCAL,Delhi Capitals,Mumbai Indians,43,Arun Jaitley Stadium,Delhi,,2024-04-27 06:00:00,2024-04-27,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Gujarat Titans vs Royal Challengers Bengaluru, 45th Match",https://www.cricbuzz.com/live-cricket-scores/91551/gt-vs-rcb-45th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at Apr 28, 10:00 GMT",1714298400000,10:00 AM GMT	/ 03:30 PM LOCAL,Gujarat Titans,Royal Challengers Bengaluru,45,Narendra Modi Stadium,Ahmedabad,,2024-04-28 06:00:00,2024-04-28,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Kolkata Knight Riders vs Delhi Capitals, 47th Match",https://www.cricbuzz.com/live-cricket-scores/91564/kkr-vs-dc-47th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at Apr 29, 14:00 GMT",1714399200000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Delhi Capitals,47,Eden Gardens,Kolkata,,2024-04-29 10:00:00,2024-04-29,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Mumbai Indians, 48th Match",https://www.cricbuzz.com/live-cricket-scores/91569/lsg-vs-mi-48th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 30, 14:00 GMT",1714485600000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Mumbai Indians,48,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-30 10:00:00,2024-04-30,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Punjab Kings, 49th Match",https://www.cricbuzz.com/live-cricket-scores/91578/csk-vs-pbks-49th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at May 01, 14:00 GMT",1714572000000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Punjab Kings,49,MA Chidambaram Stadium,Chennai,,2024-05-01 10:00:00,2024-05-01,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Rajasthan Royals, 50th Match",https://www.cricbuzz.com/live-cricket-scores/91587/srh-vs-rr-50th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 02, 14:00 GMT",1714658400000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Rajasthan Royals,50,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-02 10:00:00,2024-05-02,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Kolkata Knight Riders, 51st Match",https://www.cricbuzz.com/live-cricket-scores/91596/mi-vs-kkr-51st-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 03, 14:00 GMT",1714744800000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Kolkata Knight Riders,51,Wankhede Stadium,Mumbai,,2024-05-03 10:00:00,2024-05-03,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Gujarat Titans, 52nd Match",https://www.cricbuzz.com/live-cricket-scores/91600/rcb-vs-gt-52nd-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 04, 14:00 GMT",1714831200000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Gujarat Titans,52,M.Chinnaswamy Stadium,Bengaluru,,2024-05-04 10:00:00,2024-05-04,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Chennai Super Kings, 53rd Match",https://www.cricbuzz.com/live-cricket-scores/91609/pbks-vs-csk-53rd-match-indian-premier-league-2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala","Match starts at May 05, 10:00 GMT",1714903200000,10:00 AM GMT	/ 03:30 PM LOCAL,Punjab Kings,Chennai Super Kings,53,Himachal Pradesh Cricket Association Stadium,Dharamsala,,2024-05-05 06:00:00,2024-05-05,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Mumbai Indians vs Sunrisers Hyderabad, 55th Match",https://www.cricbuzz.com/live-cricket-scores/91623/mi-vs-srh-55th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 06, 14:00 GMT",1715004000000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Sunrisers Hyderabad,55,Wankhede Stadium,Mumbai,,2024-05-06 10:00:00,2024-05-06,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Rajasthan Royals, 56th Match",https://www.cricbuzz.com/live-cricket-scores/91632/dc-vs-rr-56th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at May 07, 14:00 GMT",1715090400000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Rajasthan Royals,56,Arun Jaitley Stadium,Delhi,,2024-05-07 10:00:00,2024-05-07,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Lucknow Super Giants, 57th Match",https://www.cricbuzz.com/live-cricket-scores/91641/srh-vs-lsg-57th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 08, 14:00 GMT",1715176800000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Lucknow Super Giants,57,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-08 10:00:00,2024-05-08,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Royal Challengers Bengaluru, 58th Match",https://www.cricbuzz.com/live-cricket-scores/91645/pbks-vs-rcb-58th-match-indian-premier-league-2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala","Match starts at May 09, 14:00 GMT",1715263200000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Royal Challengers Bengaluru,58,Himachal Pradesh Cricket Association Stadium,Dharamsala,,2024-05-09 10:00:00,2024-05-09,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Chennai Super Kings, 59th Match",https://www.cricbuzz.com/live-cricket-scores/91650/gt-vs-csk-59th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at May 10, 14:00 GMT",1715349600000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Chennai Super Kings,59,Narendra Modi Stadium,Ahmedabad,,2024-05-10 10:00:00,2024-05-10,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Kolkata Knight Riders vs Mumbai Indians, 60th Match",https://www.cricbuzz.com/live-cricket-scores/91654/kkr-vs-mi-60th-match-indian-premier-league-2024,"Eden Gardens, Kolkata","Match starts at May 11, 14:00 GMT",1715436000000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Mumbai Indians,60,Eden Gardens,Kolkata,,2024-05-11 10:00:00,2024-05-11,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Rajasthan Royals, 61st Match",https://www.cricbuzz.com/live-cricket-scores/91663/csk-vs-rr-61st-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at May 12, 10:00 GMT",1715508000000,10:00 AM GMT	/ 03:30 PM LOCAL,Chennai Super Kings,Rajasthan Royals,61,MA Chidambaram Stadium,Chennai,,2024-05-12 06:00:00,2024-05-12,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Gujarat Titans vs Kolkata Knight Riders, 63rd Match",https://www.cricbuzz.com/live-cricket-scores/91677/gt-vs-kkr-63rd-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad","Match starts at May 13, 14:00 GMT",1715608800000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Kolkata Knight Riders,63,Narendra Modi Stadium,Ahmedabad,,2024-05-13 10:00:00,2024-05-13,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Lucknow Super Giants, 64th Match",https://www.cricbuzz.com/live-cricket-scores/91681/dc-vs-lsg-64th-match-indian-premier-league-2024,"Arun Jaitley Stadium, Delhi","Match starts at May 14, 14:00 GMT",1715695200000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Lucknow Super Giants,64,Arun Jaitley Stadium,Delhi,,2024-05-14 10:00:00,2024-05-14,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Punjab Kings, 65th Match",https://www.cricbuzz.com/live-cricket-scores/91686/rr-vs-pbks-65th-match-indian-premier-league-2024,"Barsapara Cricket Stadium, Guwahati","Match starts at May 15, 14:00 GMT",1715781600000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Punjab Kings,65,Barsapara Cricket Stadium,Guwahati,,2024-05-15 10:00:00,2024-05-15,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
